vendor,suite,doc,kind,verdict,reason,kb,why
azure-cu_full,micro1,Contracts_Awarded,empty,KEEP,400 invalid request -- likely a real rejection,2204.1,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 395 pages, which exceeds the maximum allowed page c"
azure-cu_full,micro1,American_Community_Survey__ACS__5-year_estimates,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,2148.9,timeout at the uniform 1800s limit; the vendor was still processing after 561 polls over 1803s
azure-cu_full,extractbench,long__real_ftx_full_corrupted,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1883.3,timeout at the uniform 1800s limit; the vendor was still processing after 578 polls over 1808s
azure-cu_full,micro1,m1__Infectious_disease_surveillance_report,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1801.2,timeout at the uniform 1800s limit; the vendor was still processing after 574 polls over 1806s
azure-cu_full,micro1,Healthcare_Reimbursement_Regulations,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1685.1,timeout at the uniform 1800s limit; the vendor was still processing after 574 polls over 1808s
azure-cu_full,extractbench,long__real_ishares_iboxx_bond_etfs,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1632.4,timeout at the uniform 1800s limit; the vendor was still processing after 572 polls over 1811s
azure-cu_full,micro1,m1__Local_government_budget_line-item_schedules,empty,KEEP,400 invalid request -- likely a real rejection,1628.7,"HTTP 400: {""error"":{""code"":""InvalidRequest"",""message"":""Invalid request."",""innererror"":{""code"":""InputPageCountExceeded"",""message"":""The input file has 436 pages, which exceeds the maximum allowed page c"
azure-cu_full,micro1,64ce2c27__enrolment_by_school_2223_final_en_supp - Enrolment by School 2022-2023,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1255.1,timeout at the uniform 1800s limit; the vendor was still processing after 557 polls over 1821s
azure-cu_full,extractbench,long__sec_13f_0010_renaissance_technologies,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1104.1,timeout at the uniform 1800s limit; the vendor was still processing after 931 polls over 1802s
azure-cu_full,longarray,cae_v2_12_n1283,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1085.2,timeout at the uniform 1800s limit; the vendor was still processing after 559 polls over 1802s
azure-cu_full,extractbench,long__real_freer_register_full,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1075.9,timeout at the uniform 1800s limit; the vendor was still processing after 539 polls over 1860s
azure-cu_full,micro1,Energy_consumption___efficiency_report,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,1036.6,timeout at the uniform 1800s limit; the vendor was still processing after 571 polls over 1802s
azure-cu_full,micro1,c9b6b95b__TABLE3 Maritimes,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,898.5,timeout at the uniform 1800s limit; the vendor was still processing after 936 polls over 1812s
azure-cu_full,longarray,cae_v2_11_n967,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,834.1,timeout at the uniform 1800s limit; the vendor was still processing after 549 polls over 1803s
azure-cu_full,micro1,std__Board_examination_score_report_-_GCSE-Full-Course-results-summer-2024-2-202,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,767.1,timeout at the uniform 1800s limit; the vendor was still processing after 566 polls over 1804s
azure-cu_full,micro1,m1__Mortality_statistics_and_preventable_mortality_reports,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,761.7,timeout at the uniform 1800s limit; the vendor was still processing after 563 polls over 1803s
azure-cu_full,micro1,Government_RFP-2,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,715.5,timeout at the uniform 1800s limit; the vendor was still processing after 569 polls over 1807s
azure-cu_full,micro1,06_10_26_CMS_E_M_Utilization_Report_27e43c5f_cy_2017_evaluation_and_ma,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,668.2,timeout at the uniform 1800s limit; the vendor was still processing after 568 polls over 1802s
azure-cu_full,longarray,lp_08_n1139,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,636.4,timeout at the uniform 1800s limit; the vendor was still processing after 557 polls over 1802s
azure-cu_full,longarray,cae_v2_10_n742,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,623.1,timeout at the uniform 1800s limit; the vendor was still processing after 530 polls over 1804s
azure-cu_full,longarray,wf_08_n2200_combined,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,603.4,timeout at the uniform 1800s limit; the vendor was still processing after 554 polls over 1803s
azure-cu_full,micro1,06_19_Bankruptcy_Filings_Statistics,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,539.7,timeout at the uniform 1800s limit; the vendor was still processing after 554 polls over 1807s
azure-cu_full,longarray,cae_v2_09_n581,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,499.1,timeout at the uniform 1800s limit; the vendor was still processing after 562 polls over 1801s
azure-cu_full,micro1,m1__Power_Purchase_Agreement,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,465.6,timeout at the uniform 1800s limit; the vendor was still processing after 573 polls over 1807s
azure-cu_full,extractbench,medium__sec_13f_0031_loomis_sayles,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,423.4,timeout at the uniform 1800s limit; the vendor was still processing after 687 polls over 1801s
azure-cu_full,longarray,lp_07_n705,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,394.2,timeout at the uniform 1800s limit; the vendor was still processing after 553 polls over 1801s
azure-cu_full,extractbench,long__real_sm0801_ae_full,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,364.3,timeout at the uniform 1800s limit; the vendor was still processing after 898 polls over 1803s
azure-cu_full,longarray,cn_08_n1300,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,353.0,timeout at the uniform 1800s limit; the vendor was still processing after 783 polls over 1801s
azure-cu_full,longarray,wf_07_n1100_combined,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,301.9,timeout at the uniform 1800s limit; the vendor was still processing after 551 polls over 1804s
azure-cu_full,longarray,cae_v2_07_n349,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,297.2,timeout at the uniform 1800s limit; the vendor was still processing after 566 polls over 1801s
azure-cu_full,longarray,lp_06_n481,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,269.4,timeout at the uniform 1800s limit; the vendor was still processing after 547 polls over 1801s
azure-cu_full,contextual,research__[zhao25] a survey of LLMs,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,268.3,timeout at the uniform 1800s limit; the vendor was still processing after 546 polls over 1803s
azure-cu_full,micro1,m1__Calibration__Postsecondary_Graduation_-_college___UNI_stats,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,162.8,timeout at the uniform 1800s limit; the vendor was still processing after 540 polls over 1804s
azure-cu_full,micro1,std__Annual_report_10-K_-_Exxon,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,160.0,timeout at the uniform 1800s limit; the vendor was still processing after 559 polls over 1801s
azure-cu_full,longarray,lp_04_n207,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,117.9,timeout at the uniform 1800s limit; the vendor was still processing after 553 polls over 1802s
azure-cu_full,micro1,Proxy_statement_DEF_14A,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,99.7,timeout at the uniform 1800s limit; the vendor was still processing after 579 polls over 1806s
azure-cu_full,micro1,std__Municipal_continuing_disclosure_annual_financial_information_filing_-_2021,empty,KEEP,hit the harness's own 1800s cap while the vendor still worked,82.3,timeout at the uniform 1800s limit; the vendor was still processing after 571 polls over 1806s
gemini_full,extractbench,medium__arif-2023,empty,KEEP,response was not an object,18.6,no dict
mistral_full,micro1,hard__Municipal_continuing_disclosure_annual_financial_information_filing_-_efis,empty,KEEP,prompt exceeds the model's context window,12840.5,"HTTP 400: {""object"":""error"",""message"":""Prompt 1697431 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,06_19_Government_zoning_and_land_use_geospatial_datasets,empty,KEEP,prompt exceeds the model's context window,8870.4,"HTTP 400: {""object"":""error"",""message"":""Prompt 1862189 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,06_20_Football_match_results_and_score_tables,empty,KEEP,prompt exceeds the model's context window,4504.7,"HTTP 400: {""object"":""error"",""message"":""Prompt 747251 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,m1__Healthcare_facility_quality_measure_public_reporting,empty,KEEP,prompt exceeds the model's context window,3402.1,"HTTP 400: {""object"":""error"",""message"":""Prompt 803368 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,06_10_26_Mortality_statistics_and_preventable_mortality_report_d87435b,empty,KEEP,prompt exceeds the model's context window,3218.9,"HTTP 400: {""object"":""error"",""message"":""Prompt 607945 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,Wastewater_discharge_monitoring_report___permit_compliance_summary,empty,KEEP,prompt exceeds the model's context window,3103.8,"HTTP 400: {""object"":""error"",""message"":""Prompt 363901 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,60a608a5__Medical_Examiner-Coroner_Santa Clara_Full_dataset_2018-2019-20260617T2,empty,KEEP,prompt exceeds the model's context window,2890.6,"HTTP 400: {""object"":""error"",""message"":""Prompt 871540 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,m1__Manufacturing_Industry_Datasets,empty,KEEP,prompt exceeds the model's context window,2538.4,"HTTP 400: {""object"":""error"",""message"":""Prompt 377227 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,06_10_26_Federal_Reserve_Z_1_Financial_Accounts_of_the_United_States_e,empty,KEEP,prompt exceeds the model's context window,2455.5,"HTTP 400: {""object"":""error"",""message"":""Prompt 669336 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,extractbench,long__real_ofac_ssi_full,empty,KEEP,prompt exceeds the model's context window,2286.6,"HTTP 400: {""object"":""error"",""message"":""Prompt 464833 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,extractbench,long__real_imedia_full,empty,KEEP,prompt exceeds the model's context window,2246.2,"HTTP 400: {""object"":""error"",""message"":""Prompt 344158 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,extractbench,long__real_imedia_full_corrupted,empty,KEEP,prompt exceeds the model's context window,2246.2,"HTTP 400: {""object"":""error"",""message"":""Prompt 308391 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,Contracts_Awarded,empty,KEEP,prompt exceeds the model's context window,2204.1,"HTTP 400: {""object"":""error"",""message"":""Prompt 521905 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,extractbench,long__real_ftx_full,empty,KEEP,prompt exceeds the model's context window,1883.3,"HTTP 400: {""object"":""error"",""message"":""Prompt 296584 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,extractbench,long__real_ftx_full_corrupted,empty,KEEP,prompt exceeds the model's context window,1883.3,"HTTP 400: {""object"":""error"",""message"":""Prompt 288834 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,m1__Infectious_disease_surveillance_report,empty,KEEP,prompt exceeds the model's context window,1801.2,"HTTP 400: {""object"":""error"",""message"":""Prompt 349955 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,Healthcare_Reimbursement_Regulations,empty,KEEP,prompt exceeds the model's context window,1685.1,"HTTP 400: {""object"":""error"",""message"":""Prompt 344511 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,m1__Local_government_budget_line-item_schedules,empty,KEEP,prompt exceeds the model's context window,1628.7,"HTTP 400: {""object"":""error"",""message"":""Prompt 468726 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,longarray,cae_v2_12_n1283,empty,KEEP,prompt exceeds the model's context window,1085.2,"HTTP 400: {""object"":""error"",""message"":""Prompt 346941 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,extractbench,long__real_freer_register_full,empty,KEEP,prompt exceeds the model's context window,1075.9,"HTTP 400: {""object"":""error"",""message"":""Prompt 280464 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,m1__Power_Purchase_Agreement,empty,KEEP,prompt exceeds the model's context window,465.6,"HTTP 400: {""object"":""error"",""message"":""Prompt 523051 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
mistral_full,micro1,std__Municipal_continuing_disclosure_annual_financial_information_filing_-_2021,empty,KEEP,prompt exceeds the model's context window,82.3,"HTTP 400: {""object"":""error"",""message"":""Prompt 712845 > 262144 maximum context length"",""type"":""document_parser_internal_server_error"",""param"":null,""code"":""3700"",""raw_status_code"":400}"
azure-cu_full,extractbench,long__real_imedia_full_corrupted,empty,RETRY,404 -- resource vanished between submit and poll,2246.2,"HTTP 404: {""error"":{""code"":""NotFound"",""message"":""Resource not found."",""innererror"":{""code"":""OperationNotFound"",""message"":""The requested operation 'c89ce524-4bd7-4871-bcd4-a26fc1f6123a' was not found. "
azure-cu_full,extractbench,long__real_ftx_full,empty,RETRY,404 -- resource vanished between submit and poll,1883.3,"HTTP 404: {""error"":{""code"":""NotFound"",""message"":""Resource not found."",""innererror"":{""code"":""ModelNotFound"",""message"":""Analyzer 'bench9ed4f6905082' with status 'Running' is not ready for analysis.""}}}"
azure-cu_full,longarray,cn_05_n900,absent,RETRY,no file in R2 at all,245.8,
azure-cu_full,extractbench,short__passcoag-2020-w2-p0004-r1,empty,RETRY,404 -- resource vanished between submit and poll,1.3,"HTTP 404: {""error"":{""code"":""NotFound"",""message"":""Resource not found."",""innererror"":{""code"":""ModelNotFound"",""message"":""Analyzer 'bench4c71ed8ae6ff' with status 'Running' is not ready for analysis.""}}}"
claude_full,micro1,hard__Municipal_continuing_disclosure_annual_financial_information_filing_-_efis,empty,RETRY,200 with an empty body,12840.5,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,06_19_Government_zoning_and_land_use_geospatial_datasets,empty,RETRY,"gateway error envelope, not the vendor's own",8870.4,"HTTP 400: {""error"":{""message"":""Provider returned error"",""code"":400,""metadata"":{""raw"":""{\""type\"":\""error\"",\""error\"":{\""type\"":\""invalid_request_error\"",\""message\"":\""messages.0.content.0.pdf.source.ba"
claude_full,micro1,06_20_Football_match_results_and_score_tables,empty,RETRY,200 with an empty body,4504.7,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,m1__Healthcare_facility_quality_measure_public_reporting,empty,RETRY,200 with an empty body,3402.1,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,06_10_26_Mortality_statistics_and_preventable_mortality_report_d87435b,empty,RETRY,200 with an empty body,3218.9,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,60a608a5__Medical_Examiner-Coroner_Santa Clara_Full_dataset_2018-2019-20260617T2,empty,RETRY,200 with an empty body,2890.6,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,std__Regulatory_inspection_enforcement_activity_statistical_reports_-_catalog.da,empty,RETRY,200 with an empty body,2292.0,no usable output; last response 200:                                                                                                                                                                    
claude_full,extractbench,long__real_imedia_full_corrupted,empty,RETRY,200 with an empty body,2246.2,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,Contracts_Awarded,empty,RETRY,200 with an empty body,2204.1,no usable output; last response 200:                                                                                                                                                                    
claude_full,extractbench,long__real_ftx_full_corrupted,empty,RETRY,5xx backend error,1883.3,"HTTP 502: {""type"":""https://developers.cloudflare.com/support/troubleshooting/http-status-codes/cloudflare-5xx-errors/error-502/"",""title"":""Error 502: Bad gateway"",""status"":502,""detail"":""The origin web "
claude_full,micro1,m1__Local_government_budget_line-item_schedules,empty,RETRY,200 with an empty body,1628.7,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,64ce2c27__enrolment_by_school_2223_final_en_supp - Enrolment by School 2022-2023,empty,RETRY,200 with only keep-alive padding -- streaming/client,1255.1,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,cae_v2_12_n1283,empty,RETRY,200 with only keep-alive padding -- streaming/client,1085.2,empty 200: response body was keep-alive padding with no completion
claude_full,extractbench,long__real_freer_register_full,empty,RETRY,200 with an empty body,1075.9,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,Energy_consumption___efficiency_report,empty,RETRY,200 with only keep-alive padding -- streaming/client,1036.6,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,cae_v2_11_n967,empty,RETRY,200 with only keep-alive padding -- streaming/client,834.1,empty 200: response body was keep-alive padding with no completion
claude_full,micro1,std__Board_examination_score_report_-_GCSE-Full-Course-results-summer-2024-2-202,empty,RETRY,200 with only keep-alive padding -- streaming/client,767.1,empty 200: response body was keep-alive padding with no completion
claude_full,micro1,Government_RFP-2,empty,RETRY,200 with only keep-alive padding -- streaming/client,715.5,empty 200: response body was keep-alive padding with no completion
claude_full,micro1,06_10_26_CMS_E_M_Utilization_Report_27e43c5f_cy_2017_evaluation_and_ma,empty,RETRY,200 with an empty body,668.2,no usable output; last response 200:                                                                                                                                                                    
claude_full,extractbench,long__sec_13f_0026_brown_brothers_harriman,empty,RETRY,200 with an empty body,644.7,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,cae_v2_10_n742,empty,RETRY,200 with only keep-alive padding -- streaming/client,623.1,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,wf_08_n2200_combined,empty,RETRY,200 with an empty body,603.4,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,06_19_Bankruptcy_Filings_Statistics,empty,RETRY,200 with only keep-alive padding -- streaming/client,539.7,empty 200: response body was keep-alive padding with no completion
claude_full,micro1,ed4f34de__table4_ac,empty,RETRY,200 with an empty body,525.6,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,cae_v2_09_n581,empty,RETRY,200 with an empty body,499.1,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,sa_08_n1700,empty,RETRY,200 with an empty body,477.8,no usable output; last response 200:                                                                                                                                                                    
claude_full,extractbench,medium__13f__leonteq_securities_2025q4,empty,RETRY,200 with an empty body,476.8,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,Fisheries_catch_and_aquaculture_production_statistical_reports,empty,RETRY,200 with only keep-alive padding -- streaming/client,459.7,empty 200: response body was keep-alive padding with no completion
claude_full,extractbench,medium__sec_13f_0031_loomis_sayles,empty,RETRY,200 with only keep-alive padding -- streaming/client,423.4,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,cn_09_n1500,empty,RETRY,200 with an empty body,406.2,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,lp_07_n705,empty,RETRY,200 with an empty body,394.2,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,cae_v2_08_n446,empty,RETRY,200 with only keep-alive padding -- streaming/client,384.2,empty 200: response body was keep-alive padding with no completion
claude_full,extractbench,long__real_sm0801_ae_full,empty,RETRY,200 with only keep-alive padding -- streaming/client,364.3,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,cn_08_n1300,empty,RETRY,200 with only keep-alive padding -- streaming/client,353.0,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,wf_07_n1100_combined,empty,RETRY,200 with an empty body,301.9,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,cae_v2_07_n349,empty,RETRY,200 with an empty body,297.2,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,sa_07_n990,empty,RETRY,200 with only keep-alive padding -- streaming/client,277.3,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,lp_06_n481,empty,RETRY,200 with only keep-alive padding -- streaming/client,269.4,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,cn_07_yb_n970,empty,RETRY,200 with only keep-alive padding -- streaming/client,263.3,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,cn_06_n950,empty,RETRY,200 with only keep-alive padding -- streaming/client,256.5,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,wf_06_yb_n920_combined,empty,RETRY,200 with an empty body,253.9,no usable output; last response 200:                                                                                                                                                                    
claude_full,longarray,sa_06_n880,empty,RETRY,200 with only keep-alive padding -- streaming/client,245.2,empty 200: response body was keep-alive padding with no completion
claude_full,longarray,wf_05_n850_combined,empty,RETRY,200 with an empty body,235.1,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,Capital_improvement_plan___CIP_project_budget_report,empty,RETRY,200 with an empty body,179.9,no usable output; last response 200:                                                                                                                                                                    
claude_full,micro1,std__Municipal_continuing_disclosure_annual_financial_information_filing_-_2021,empty,RETRY,200 with an empty body,82.3,no usable output; last response 200:                                                                                                                                                                    
claude_full,contextual,swimming__ma_2023_sw_M-table4,absent,RETRY,no file in R2 at all,3.7,
claude_full,extractbench,short__passcoag-2020-w2-p0002-r4,absent,RETRY,no file in R2 at all,1.2,
gemini_full,micro1,hard__Municipal_continuing_disclosure_annual_financial_information_filing_-_efis,empty,RETRY,200 with an empty body,12840.5,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,06_19_Government_zoning_and_land_use_geospatial_datasets,empty,RETRY,200 with an empty body,8870.4,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,m1__Healthcare_facility_quality_measure_public_reporting,empty,RETRY,200 with an empty body,3402.1,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,Wastewater_discharge_monitoring_report___permit_compliance_summary,empty,RETRY,200 with an empty body,3103.8,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,Contracts_Awarded,empty,RETRY,200 with an empty body,2204.1,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,American_Community_Survey__ACS__5-year_estimates,empty,RETRY,200 with an empty body,2148.9,no usable output; last response 200:                                                                                                                                                                    
gemini_full,extractbench,long__real_ftx_full_corrupted,empty,RETRY,200 with an empty body,1883.3,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,m1__Local_government_budget_line-item_schedules,empty,RETRY,200 with an empty body,1628.7,no usable output; last response 200:                                                                                                                                                                    
gemini_full,longarray,cae_v2_12_n1283,empty,RETRY,200 with an empty body,1085.2,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,Energy_consumption___efficiency_report,empty,RETRY,200 with an empty body,1036.6,no usable output; last response 200:                                                                                                                                                                    
gemini_full,longarray,cae_v2_11_n967,empty,RETRY,200 with an empty body,834.1,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,Government_RFP-2,empty,RETRY,200 with an empty body,715.5,no usable output; last response 200:                                                                                                                                                                    
gemini_full,longarray,cae_v2_10_n742,empty,RETRY,200 with an empty body,623.1,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,06_19_Bankruptcy_Filings_Statistics,empty,RETRY,200 with an empty body,539.7,no usable output; last response 200:                                                                                                                                                                    
gemini_full,longarray,sa_08_n1700,empty,RETRY,200 with an empty body,477.8,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,Fisheries_catch_and_aquaculture_production_statistical_reports,empty,RETRY,200 with an empty body,459.7,no usable output; last response 200:                                                                                                                                                                    
gemini_full,longarray,cn_09_n1500,empty,RETRY,200 with an empty body,406.2,no usable output; last response 200:                                                                                                                                                                    
gemini_full,micro1,721d346e__table_6,empty,RETRY,200 with an empty body,380.7,no usable output; last response 200:                                                                                                                                                                    
